report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,435051855806923332,12.17,23.98,142.45,0.00,0.00,0.00
8JUk,435085418018390256,9.77,23.93,146.01,0.00,0.00,0.00
8JUk,435159336329751478,6.82,12.87,90.04,0.00,0.00,0.00
8JUk,438538086671316417,11.52,23.91,140.98,0.00,0.00,0.00
8JUk,438626569442631056,9.82,19.83,114.89,0.00,4.12,27.34
8JUk,438787731138409718,25.07,0.99,55.49,0.00,0.00,0.00
8JUk,438929057420935215,6.38,23.87,141.26,0.00,0.00,0.00
8JUk,442221075012068131,8.07,23.91,143.39,0.00,0.00,0.00
8JUk,442727361121667460,0.00,0.00,0.00,5.40,23.86,141.15
8JUk,445709763188105330,12.10,23.98,141.45,0.00,0.00,0.00
8JUk,446353610775343315,6.75,23.89,141.27,0.00,0.00,0.00
8JUk,446849336660301089,25.50,17.98,89.55,0.00,0.00,0.00
8JUk,447158844635525789,4.95,23.86,140.33,0.00,0.00,0.00
8JUk,448691451688410426,12.18,23.97,140.04,0.00,0.00,0.00
8JUk,448947650784082297,57.12,23.90,142.15,0.00,0.00,0.00
8JUk,450779712077345360,0.00,0.00,33.97,10.08,23.95,94.67
8JUk,451128482773222079,12.75,23.98,143.37,0.00,0.00,0.00
8JUk,442238990270735302,0.00,0.00,0.00,11.53,22.97,128.51
8JUk,444350742588893582,57.70,17.97,111.59,0.00,6.02,18.15
8JUk,455892546794002902,7.08,23.83,117.71,0.00,0.00,0.00
8JUk,455406294575940647,12.27,23.81,142.00,0.00,0.00,0.00
8JUk,456199107064330534,6.38,23.90,142.22,0.00,0.00,0.00
8JUk,455538436010497394,11.83,23.91,140.86,0.00,0.00,0.00
8JUk,458437129236139637,0.00,0.00,66.28,0.00,23.93,75.97
8JUk,459075411080797603,0.00,0.00,0.00,2.88,23.99,141.03
8JUk,460596082134507136,0.80,12.82,90.20,0.00,0.00,0.00
8JUk,461066355767765872,20.17,15.12,73.31,0.00,0.00,0.00
8JUk,461925840980287263,9.53,23.89,143.39,0.00,0.00,0.00
8JUk,461959403778557393,0.00,0.00,0.00,6.27,23.99,141.41
8JUk,462371174123670682,8.33,23.86,141.94,0.00,0.00,0.00
8JUk,463046607006654415,0.00,0.00,0.00,58.20,23.97,142.43
8JUk,464478016665953351,5.82,23.94,141.81,0.00,0.00,0.00
8JUk,464711645090421883,6.45,23.91,142.28,0.00,0.00,0.00
8JUk,465504559864476360,9.15,23.98,142.46,0.00,0.00,0.00
